Latitude,Longitude
51.8751751933,-8.4960671799
51.898020195,-8.414907275
51.8833558096,-8.4825639778
51.8876882128,-8.4735763978
51.9172263302,-8.4698175813
51.9033475656,-8.4924254003
51.8769799274,-8.5254622331
51.884729202,-8.4959399285
51.9032941247,-8.4519613474
51.8964733579,-8.4633836887
51.8885809897,-8.4156482714
51.8839079933,-8.4924599372
51.8896841541,-8.4844327859
51.8910097075,-8.4251119767
51.9025143299,-8.5087321756
51.8992674269,-8.4815430849
51.8847805098,-8.5091855796
51.8783119326,-8.5086623834
51.89780206,-8.4794500207
51.8970226863,-8.4788315923
51.8892379918,-8.4449067202
51.8949993385,-8.4634121115
51.8792592685,-8.5160789572
51.9009035289,-8.4792360414
51.9010311954,-8.4853683622
51.8988685864,-8.4667642054
51.9043724654,-8.496621079
51.8895614744,-8.4635595488
51.9243684361,-8.4903295556
51.889886239,-8.4563440901
51.8838648594,-8.4445777615
51.8858564672,-8.4260945439
51.9090927517,-8.4224054981
51.9152739279,-8.4836761698
51.9161844755,-8.4741376145
51.8993071959,-8.4463572174
51.912855559,-8.4728092062
51.9100695599,-8.4772555888
51.9009681431,-8.4983124274
51.9124921949,-8.4934699598
51.8868122275,-8.467888405
51.8966634465,-8.5003857598
51.8880800151,-8.4722442903
51.9139820794,-8.4514001045
51.8988220134,-8.4694368068
51.8961069002,-8.5023406941
51.8995531873,-8.501362162
51.8985209619,-8.4130668924
51.9016520402,-8.4394067525
51.8800765309,-8.4756746894
51.924101149,-8.4854280817
51.8912171742,-8.4419921725
51.9247713817,-8.4863510774
51.8909005469,-8.4128518012
51.8954015458,-8.468515058
51.8900606695,-8.4265990789
51.8810779968,-8.5028557711
51.8930089895,-8.4621860088
51.8927483699,-8.4621833362
51.8839661483,-8.476136889
51.9058730223,-8.4613444742
51.8982953754,-8.4685306179
51.8909327318,-8.4932484135
51.8893742472,-8.4468979318
51.9110553618,-8.4386847168
51.9075327489,-8.4528321081
51.9015879752,-8.4677076737
51.8898405382,-8.5028663705
51.887672237,-8.4430467154
51.8930264547,-8.5101938579
51.8947748199,-8.422765178
51.8873419342,-8.4680246183
51.9033712459,-8.4264635806
51.8808246958,-8.4428487323
51.8829330408,-8.4647838979
51.8865263245,-8.491733308
51.8857557556,-8.4780728817
51.8854312874,-8.5145375173
51.8956063578,-8.3982085534
51.8939261148,-8.4778399722
51.8880998818,-8.4958317692
51.9015776891,-8.4901250777
51.8909722329,-8.4402031848
51.8891824065,-8.5075359306
51.9204120752,-8.4821034881
51.9157227101,-8.4727521099
51.9090710439,-8.4547801861
51.8861321416,-8.4694063182
51.8918894763,-8.479198293
51.8962819218,-8.4663451892
51.894592627,-8.4927509965
51.8759432004,-8.5261761679
51.8944993831,-8.4556499628
51.8780930415,-8.5135389609
51.8837008737,-8.4838892426
51.9079544212,-8.4954254684
51.903221614,-8.490302781
51.895271085,-8.4719274258
51.88711089,-8.4441450105
51.9039687076,-8.4351141529
51.8915441888,-8.4801242405
51.8976817532,-8.4758750332
51.8964508312,-8.4240447368
51.8908712468,-8.466434457
51.8878360092,-8.5071431447
51.8997174268,-8.4725115264
51.8877184788,-8.5317456078
51.908442746,-8.4838934301
51.8925361241,-8.5051043396
51.9158026294,-8.4774471432
51.9163652905,-8.4366727178
51.9032547823,-8.4643832938
51.8993549174,-8.5035972399
51.9033825822,-8.4661571611
51.8979972022,-8.4734232395
51.8997751914,-8.4715532882
